"","X","Y","religion"
"478",35.2165998,32.1796916,"muslim"
"479",35.1080953,31.518732,"muslim"
"480",35.3677586,32.0569541,"muslim"
"481",35.2748906,32.1915011,"muslim"
"482",35.1455081,31.5844074,"muslim"
"483",35.1395768,31.5727686,"muslim"
"484",35.2722667,32.2131468,"muslim"
"485",35.2132286,32.2923938,"muslim"
"486",35.2156717,32.2741619,"muslim"
"487",34.9667913,31.5038959,"muslim"
"488",35.1341678,31.6229483,"muslim"
"489",35.3640774,32.0842697,"muslim"
"490",35.2118555,32.1995551,"muslim"
"491",35.1941978,32.2775162,"muslim"
"492",35.335633,32.1751766,"muslim"
"493",35.2374069,32.2215184,"muslim"
"494",35.225772,32.221985,"muslim"
"495",35.02829,31.5974924,"muslim"
"496",35.1407389,31.6228469,"muslim"
"497",35.3028739,32.2278621,"muslim"
"498",35.1424934,31.6275374,"muslim"
"499",35.0949545,31.4503002,"muslim"
"500",34.9735818,31.4105601,"muslim"
"501",35.1595409,31.6229226,"muslim"
"502",35.1887552,32.2132681,"muslim"
"503",35.2656895,32.2491553,"muslim"
"504",35.2557704,32.0827198,"muslim"
"505",35.2644478,32.2181009,"muslim"
"506",35.3014706,32.0808085,"muslim"
"507",35.2931091,32.1613515,"muslim"
"508",35.2666794,32.2156014,"muslim"
"509",35.0718108,31.3936807,"muslim"
"510",35.2764755,32.152666,"muslim"
"511",35.2501795,32.183862,"muslim"
"512",35.2854733,32.2126898,"muslim"
"513",35.2926516,32.1886855,"muslim"
"514",35.2699787,32.1095752,"muslim"
"515",35.1422813,31.6210732,"muslim"
"516",35.2026323,32.1298314,"muslim"
"517",35.096763,31.524519,"muslim"
"518",35.0810901,31.4496635,"muslim"
"519",35.073709,31.5234806,"muslim"
"520",35.0883275,31.453743,"muslim"
"521",35.1700496,31.5168218,"muslim"
"522",35.074915,31.3884046,"muslim"
"523",35.0903292,31.4514376,"muslim"
"524",35.0994328,31.4424254,"muslim"
"525",35.1055885,31.558147,"muslim"
"526",35.0960546,31.5831352,"muslim"
"527",35.1533105,31.5850309,"muslim"
"528",35.1059116,31.5178626,"muslim"
"529",35.1075404,31.5349556,"muslim"
"530",35.1091935,31.5311466,"muslim"
"531",35.0805404,31.5085888,"muslim"
"532",35.0887188,31.5044362,"muslim"
"533",35.1259208,31.4718446,"muslim"
"534",34.967176,31.5335307,"muslim"
"535",35.1036963,31.5284584,"muslim"
"536",35.1060543,31.5158357,"muslim"
"537",35.0800976,31.5536038,"muslim"
"538",35.1658692,31.5170517,"muslim"
"539",35.0649852,31.6486063,"muslim"
"540",35.0809441,31.5030027,"muslim"
"541",35.0139605,31.5987749,"muslim"
"542",35.058067,31.482757,"muslim"
"543",35.1068134,31.5859231,"muslim"
"544",35.0491446,31.5389251,"muslim"
"545",35.0808569,31.5291823,"muslim"
"546",35.0984618,31.553343,"muslim"
"547",35.0639915,31.6518025,"muslim"
"548",35.154499,31.6216794,"muslim"
"549",35.0603016,31.5080302,"muslim"
"550",35.1082014,31.5169391,"muslim"
"551",35.0138086,31.6010593,"muslim"
"552",35.065218,31.6521994,"muslim"
"553",35.1040292,31.6279888,"muslim"
"554",35.1207266,31.4539271,"muslim"
